sortable_name,id,Disc1,Disc2,Disc3,Disc4,Disc5,Disc6,Disc7,Disc8,Disc9,Disc10,Disc11,Disc12,Disc13,Disc14,Disc15,SeekFind1,SeekFind2,SeekFind3,SeekFind4,SeekFind5,SeekFind6,SeekFind7,SeekFind8,SeekFind9,SeekFind10,SeekFind11,SeekFind12,SeekFind13,SeekFind14,SeekFind15
"Abston, Alessandra",1142,"(50, 14, [(658, 0), (518, 0), (147, 0)])","(40, 36, [(101, 0)])","(50, 14, [(785, 0)])","(50, 65, [(403, 3), (143, 0)])","(50, -35, [(495, 0), (127, 0)])","(50, 59, [(999, 0), (110, 0)])","(50, 43, [(641, 1), (136, 0)])","(50, 44, [(845, 0), (135, 0), (128, 0)])","(50, 26, [(940, 0)])","(50, -34, [(795, 3), (83, 0)])","(50, 29, [(128, 0), (145, 0)])","(50, -5, [(1275, 1)])","(50, -28, [(857, 0), (111, 0), (95, 0), (126, 0)])","(50, 16, [(601, 1), (107, 0), (99, 0), (140, 0), (102, 0)])","(50, 72, [(832, 0), (142, 0)])","(50, 68, [(1157, 3)])","(50, 46, [(620, 1)])","(50, 15, [(850, 1)])","(40, -48, [(515, 1)])","(50, 16, [(385, 3), (131, 0), (95, 0), (97, 0)])","(40, 5, [(587, 1), (141, 0)])","(40, -42, [(371, 1)])","(40, 20, [(874, 2), (143, 0), (130, 0)])","(50, 58, [(1083, 2), (121, 0), (116, 0)])","(40, 47, [(1262, 3), (112, 0)])","(50, 71, [(946, 1), (90, 0)])","(40, 57, [(359, 1)])","(50, -13, [(720, 1), (150, 0), (98, 0), (114, 0), (115, 0), (85, 0)])","(50, 25, [(684, 1)])","(50, 53, [(1132, 1)])"
"Aceuedo, Asha",3526,"(40, -46, [(1593, 0), (139, 0), (133, 0), (149, 0), (88, 0)])","(50, -13, [(579, 1), (134, 0), (124, 0), (141, 0)])","(30, 20, [(1262, 0)])","(40, -6, [(1371, 0), (1266, 0), (139, 0), (102, 0), (112, 0)])","(0, 0, [])","(30, -12, [(1139, 0), (98, 0), (103, 0)])","(40, 43, [(1315, 0), (110, 0), (139, 0), (96, 0)])","(50, -6, [(1274, 0), (144, 0)])","(50, -37, [(1703, 3), (102, 0), (116, 0), (138, 0)])","(40, -16, [(1662, 0)])","(50, -19, [(704, 0), (103, 0), (119, 0), (137, 0)])","(50, -38, [(1634, 0), (112, 0), (104, 0), (120, 0)])","(0, 0, [])","(30, 53, [(1168, 0), (125, 0), (145, 0), (103, 0)])","(40, -36, [(1623, 0), (1324, 0), (93, 0), (137, 0), (137, 0), (143, 0)])","(0, 0, [])","(40, 4, [(1273, 1), (83, 0), (123, 0), (143, 0)])","(40, -2, [(1476, 1), (82, 0)])","(50, 50, [(883, 2), (91, 0)])","(50, -10, [(1770, 1)])","(50, -45, [(1429, 1), (123, 0)])","(40, -1, [(1422, 3)])","(40, -38, [(2267, 1)])","(50, -40, [(1467, 1), (136, 0), (147, 0)])","(0, 0, [])","(50, -20, [(1258, 1), (81, 0)])","(30, -39, [(1506, 2), (140, 0), (92, 0), (80, 0)])","(0, 0, [])","(50, -33, [(1556, 3), (86, 0), (129, 0), (93, 0), (117, 0)])","(0, 0, [])"
"Albritton, Aron",7196,"(50, -20, [(3039, 3), (2407, 0), (142, 0), (144, 0), (124, 0), (124, 0)])","(50, 71, [(1055, 0), (94, 0), (109, 0), (87, 0), (95, 0), (116, 0), (144, 0)])","(50, -35, [(2801, 0), (138, 0), (139, 0), (140, 0), (107, 0), (94, 0)])","(40, -3, [(2893, 0), (146, 0), (100, 0)])","(50, -44, [(2840, 0), (126, 0), (92, 0), (98, 0), (141, 0), (150, 0), (136, 0)])","(50, -5, [(2530, 2), (120, 0), (123, 0), (138, 0), (81, 0), (128, 0), (105, 0)])","(50, -34, [(2892, 1), (3090, 0), (140, 0), (135, 0), (120, 0), (95, 0), (132, 0), (97, 0), (103, 0), (80, 0)])","(50, 42, [(2489, 0), (94, 0), (100, 0), (149, 0), (84, 0)])","(50, 69, [(3322, 1), (126, 0), (94, 0), (97, 0), (110, 0), (146, 0), (131, 0), (107, 0), (88, 0)])","(50, 59, [(2961, 0), (87, 0), (96, 0), (115, 0), (141, 0), (85, 0), (133, 0), (118, 0)])","(50, -44, [(1287, 0), (97, 0), (120, 0), (110, 0)])","(50, 70, [(3299, 0), (98, 0), (129, 0), (82, 0), (149, 0), (134, 0), (106, 0)])","(50, 57, [(3138, 1), (147, 0), (90, 0), (103, 0), (120, 0), (107, 0), (99, 0)])","(50, -35, [(3291, 0), (2526, 0), (95, 0), (105, 0), (147, 0), (90, 0), (96, 0), (123, 0)])","(50, -36, [(2581, 0), (3378, 0), (80, 0), (82, 0), (139, 0), (145, 0), (83, 0), (133, 0), (95, 0), (101, 0), (83, 0)])","(50, 2, [(2827, 2), (85, 0), (105, 0), (98, 0), (120, 0)])","(50, -43, [(2751, 1), (144, 0), (124, 0), (101, 0), (110, 0), (96, 0), (113, 0)])","(50, 32, [(3438, 1), (107, 0), (130, 0)])","(50, -36, [(1029, 1), (128, 0), (128, 0), (143, 0), (120, 0)])","(50, 27, [(2769, 1), (100, 0), (146, 0), (111, 0), (98, 0), (105, 0)])","(50, -23, [(2865, 1), (81, 0), (86, 0), (141, 0), (89, 0)])","(50, 50, [(2789, 0), (111, 0)])","(50, 38, [(3636, 0), (83, 0), (145, 0)])","(50, -40, [(3010, 1), (100, 0), (120, 0), (81, 0)])","(50, 27, [(3132, 3), (119, 0)])","(50, 40, [(2861, 1), (123, 0), (145, 0)])","(50, 71, [(3255, 1), (145, 0)])","(50, 28, [(3128, 0), (92, 0), (100, 0)])","(40, -7, [(3135, 0), (121, 0), (147, 0), (145, 0), (139, 0), (90, 0)])","(50, 47, [(3813, 1), (83, 0)])"
"Alcantara, Anabel",4819,"(50, -34, [(1508, 3), (988, 0), (139, 0), (83, 0), (142, 0), (130, 0), (142, 0)])","(40, -27, [(574, 0), (816, 0), (405, 0), (82, 0), (82, 0), (105, 0)])","(50, -48, [(1676, 0), (890, 0), (82, 0), (125, 0)])","(50, -21, [(1929, 1), (113, 0), (83, 0), (121, 0)])","(50, 39, [(1673, 0), (147, 0), (92, 0), (123, 0), (100, 0), (125, 0), (107, 0)])","(50, -8, [(1502, 2), (1159, 0), (1623, 0), (94, 0), (147, 0), (111, 0)])","(50, -32, [(1431, 0), (122, 0), (116, 0)])","(50, -22, [(1444, 0), (126, 0), (96, 0)])","(50, 56, [(1518, 1), (88, 0), (133, 0), (117, 0)])","(40, -33, [(1397, 0), (108, 0), (95, 0), (146, 0)])","(50, -26, [(530, 1), (131, 0), (96, 0), (106, 0), (86, 0)])","(50, -11, [(1474, 0), (127, 0), (100, 0)])","(50, -3, [(1369, 0), (103, 0), (80, 0), (150, 0)])","(50, -28, [(1527, 0), (1318, 0), (1657, 0), (110, 0), (90, 0)])","(40, -14, [(1390, 0), (1635, 0), (1306, 0), (120, 0), (131, 0)])","(40, -17, [(1400, 0), (146, 0), (119, 0), (88, 0), (111, 0)])","(50, -25, [(1317, 0), (80, 0), (124, 0)])","(50, -28, [(1447, 2), (141, 0)])","(50, -18, [(284, 0), (126, 0), (132, 0), (104, 0), (115, 0), (147, 0)])","(50, -30, [(1254, 1)])","(40, -45, [(1273, 1), (113, 0)])","(50, -27, [(1097, 0), (91, 0), (102, 0)])","(50, -8, [(2182, 1), (118, 0)])","(40, -6, [(1752, 1)])","(40, -5, [(1623, 1), (110, 0)])","(50, 38, [(1642, 1), (137, 0), (100, 0), (83, 0), (128, 0)])","(50, -39, [(1112, 1), (109, 0), (114, 0), (91, 0)])","(50, -44, [(1505, 0), (121, 0)])","(50, -39, [(1621, 2)])","(50, -35, [(1687, 0), (128, 0)])"
"Aldana, Avery",3690,"(0, 0, [])","(50, -38, [(636, 0), (131, 0), (84, 0), (103, 0)])","(50, -30, [(1667, 0), (654, 0), (113, 0), (132, 0), (89, 0), (137, 0)])","(50, -12, [(1773, 0), (83, 0), (91, 0), (90, 0), (145, 0), (87, 0), (89, 0)])","(50, -39, [(1911, 0), (128, 0), (125, 0), (142, 0), (81, 0)])","(50, -48, [(1771, 0), (1347, 0), (1445, 0), (91, 0), (131, 0)])","(40, -42, [(1949, 0), (2057, 0), (104, 0), (147, 0), (84, 0), (83, 0)])","(50, -4, [(1766, 0), (849, 0), (143, 0), (147, 0), (115, 0)])","(40, -41, [(1485, 1), (80, 0), (135, 0)])","(50, -11, [(1488, 0), (1721, 0), (88, 0), (143, 0), (128, 0)])","(0, 0, [])","(50, -5, [(1347, 1), (98, 0), (107, 0), (104, 0), (144, 0), (144, 0), (123, 0)])","(50, -1, [(1945, 0), (81, 0), (105, 0)])","(50, -23, [(1762, 0), (1688, 0), (1722, 0), (107, 0), (106, 0), (139, 0)])","(40, -37, [(1563, 0), (1853, 0), (138, 0), (142, 0)])","(50, -6, [(1596, 1), (87, 0), (124, 0)])","(50, -32, [(1734, 0), (91, 0), (139, 0)])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(40, -17, [(1831, 2)])","(50, -40, [(1660, 2), (133, 0)])","(50, -33, [(2198, 0)])","(40, -32, [(2084, 1), (141, 0)])","(50, -26, [(2017, 0)])","(50, -46, [(1989, 3), (131, 0), (143, 0), (124, 0)])","(50, -20, [(1844, 3), (149, 0), (149, 0), (142, 0), (131, 0)])","(50, -27, [(1790, 1), (109, 0)])","(40, -1, [(2029, 1), (85, 0)])","(50, -12, [(2356, 2), (124, 0)])"
"Alvey, Ardella",2965,"(40, -11, [(331, 0), (128, 0)])","(0, 0, [])","(30, 16, [(585, 0)])","(40, -39, [(303, 0), (436, 0), (141, 0), (107, 0), (128, 0)])","(30, -44, [(365, 1), (145, 0)])","(40, -48, [(751, 0), (289, 0), (794, 0)])","(0, 0, [])","(40, 15, [(597, 0)])","(40, 23, [(477, 1), (882, 0), (140, 0)])","(40, -21, [(506, 1), (86, 0)])","(30, -11, [(380, 0)])","(40, 63, [(218, 0)])","(50, -18, [(925, 1), (111, 0)])","(0, 0, [])","(40, -3, [(811, 0)])","(50, -40, [(300, 1)])","(50, -23, [(258, 3)])","(50, 30, [(754, 2), (102, 0)])","(40, -13, [(272, 0)])","(30, -35, [(689, 1), (92, 0)])","(50, -36, [(328, 1), (120, 0)])","(30, 29, [(286, 1)])","(30, 43, [(932, 1), (128, 0)])","(50, -30, [(625, 2)])","(40, -21, [(392, 1)])","(50, 59, [(431, 1)])","(0, 0, [])","(30, -45, [(365, 0), (149, 0), (88, 0)])","(40, -34, [(462, 1)])","(0, 0, [])"
"Ashley, Akilah",4089,"(30, -24, [(2877, 0), (142, 0), (87, 0), (86, 0), (113, 0), (125, 0), (134, 0), (85, 0), (123, 0)])","(40, -25, [(1173, 2), (96, 0), (80, 0), (107, 0), (130, 0), (103, 0), (139, 0)])","(50, 46, [(2526, 0), (748, 0), (119, 0), (133, 0), (108, 0), (146, 0), (133, 0), (137, 0)])","(40, -21, [(2652, 0), (3187, 0), (3625, 0), (148, 0), (140, 0), (147, 0), (108, 0), (99, 0)])","(40, -41, [(3407, 0), (123, 0), (150, 0), (121, 0), (88, 0), (117, 0), (133, 0)])","(40, -19, [(3019, 0), (2409, 0), (106, 0), (89, 0), (91, 0), (140, 0), (134, 0), (102, 0)])","(40, -12, [(2929, 0), (3372, 0), (91, 0), (122, 0), (83, 0), (128, 0), (127, 0), (92, 0), (91, 0)])","(40, 72, [(2752, 1), (117, 0), (102, 0), (102, 0), (133, 0), (139, 0)])","(30, 67, [(3000, 2), (128, 0), (113, 0), (100, 0), (102, 0), (98, 0)])","(50, 1, [(2541, 1), (81, 0), (80, 0), (133, 0), (116, 0), (99, 0)])","(50, -4, [(948, 0), (142, 0), (118, 0), (146, 0), (107, 0), (80, 0)])","(40, -6, [(2780, 3), (99, 0), (89, 0), (104, 0), (138, 0), (117, 0), (100, 0)])","(0, 0, [])","(30, 51, [(2919, 0), (101, 0), (145, 0), (149, 0), (83, 0), (106, 0), (122, 0)])","(40, -15, [(2946, 0), (84, 0), (113, 0), (146, 0), (99, 0)])","(40, 35, [(3070, 0), (87, 0), (119, 0), (104, 0), (115, 0), (136, 0), (104, 0)])","(50, 10, [(2528, 0), (93, 0), (92, 0), (137, 0), (123, 0)])","(40, -34, [(3549, 2), (83, 0), (141, 0), (146, 0)])","(0, 0, [])","(50, -41, [(2787, 1), (148, 0), (115, 0), (84, 0), (116, 0), (89, 0), (104, 0)])","(40, 54, [(2768, 1), (92, 0), (110, 0), (101, 0), (119, 0)])","(40, -23, [(2490, 1), (117, 0), (126, 0), (111, 0), (136, 0), (121, 0), (142, 0), (120, 0)])","(50, 4, [(3833, 1)])","(30, 53, [(3300, 0), (144, 0), (96, 0)])","(50, 52, [(2797, 0), (130, 0), (83, 0)])","(30, -42, [(3363, 1), (125, 0), (142, 0)])","(0, 0, [])","(30, 21, [(3032, 1), (148, 0), (146, 0)])","(50, -2, [(3097, 1), (86, 0), (81, 0)])","(40, -25, [(3797, 0), (150, 0), (81, 0)])"
"Au, Aja",8983,"(50, -15, [(871, 0), (608, 0), (830, 0), (141, 0), (147, 0), (129, 0), (144, 0)])","(40, -43, [(238, 0), (340, 0), (142, 0), (119, 0), (95, 0), (150, 0)])","(40, -14, [(713, 1), (363, 0), (150, 0), (146, 0)])","(40, 28, [(569, 1), (511, 0), (833, 0), (118, 0)])","(40, 3, [(664, 0), (144, 0)])","(30, -40, [(489, 3), (111, 0)])","(50, -18, [(972, 0), (150, 0)])","(40, -47, [(300, 0), (330, 0), (124, 0), (102, 0), (114, 0)])","(40, 8, [(659, 0), (88, 0), (134, 0)])","(30, 43, [(568, 0), (110, 0)])","(50, -29, [(183, 0), (137, 0)])","(40, -6, [(891, 0), (132, 0), (100, 0)])","(30, 28, [(646, 0), (780, 0)])","(40, -29, [(1081, 0), (534, 0), (142, 0)])","(30, -8, [(1057, 0), (146, 0), (116, 0), (124, 0)])","(50, -23, [(634, 3), (123, 0), (143, 0), (91, 0)])","(40, 71, [(812, 0), (99, 0)])","(40, -15, [(863, 1)])","(30, 63, [(280, 0), (92, 0), (90, 0), (109, 0)])","(40, 6, [(545, 3), (96, 0)])","(40, -8, [(1159, 1), (85, 0), (147, 0), (89, 0), (82, 0), (133, 0)])","(40, -48, [(532, 1), (139, 0), (150, 0), (142, 0)])","(50, -33, [(921, 1), (133, 0), (121, 0)])","(50, -9, [(913, 1)])","(50, -19, [(657, 0)])","(40, -31, [(595, 1), (105, 0), (145, 0)])","(50, 69, [(1036, 3), (149, 0), (140, 0), (145, 0), (132, 0)])","(40, -1, [(798, 0), (112, 0)])","(40, 15, [(764, 1), (104, 0)])","(30, -28, [(669, 0), (118, 0), (134, 0)])"
"Aubert, Alfredia",4956,"(30, 44, [(3131, 0), (86, 0), (137, 0), (113, 0), (131, 0), (83, 0), (98, 0), (110, 0), (105, 0)])","(50, 8, [(945, 0), (144, 0), (86, 0), (142, 0), (132, 0), (123, 0), (116, 0), (137, 0)])","(0, 0, [])","(40, 61, [(2868, 0), (122, 0), (113, 0), (133, 0), (88, 0), (138, 0), (121, 0), (149, 0)])","(30, 12, [(2575, 0), (124, 0), (123, 0), (118, 0), (95, 0), (95, 0), (88, 0)])","(40, -30, [(2806, 0), (2656, 0), (136, 0), (93, 0), (122, 0), (142, 0), (100, 0), (97, 0), (86, 0), (131, 0)])","(40, 62, [(2816, 0), (3487, 0), (143, 0), (88, 0), (114, 0), (139, 0), (147, 0), (108, 0)])","(50, 53, [(2659, 0), (137, 0), (83, 0), (148, 0), (93, 0), (113, 0), (134, 0)])","(50, 13, [(2921, 2), (105, 0), (88, 0), (128, 0), (144, 0), (96, 0), (99, 0), (134, 0)])","(40, 26, [(2727, 0), (85, 0), (120, 0), (116, 0), (149, 0), (134, 0)])","(40, 26, [(988, 0), (150, 0), (106, 0), (102, 0)])","(50, 11, [(2836, 1), (119, 0), (90, 0), (93, 0), (102, 0), (100, 0), (137, 0)])","(40, 34, [(3072, 0), (3428, 0), (122, 0), (147, 0), (137, 0), (140, 0), (139, 0), (123, 0), (112, 0)])","(50, -7, [(3082, 0), (2511, 0), (3487, 0), (130, 0), (138, 0), (101, 0), (86, 0), (125, 0), (136, 0)])","(50, 45, [(2439, 0), (143, 0), (128, 0), (100, 0), (85, 0), (137, 0), (90, 0), (86, 0), (132, 0)])","(40, 34, [(3033, 0), (138, 0), (112, 0), (120, 0), (127, 0)])","(30, 23, [(2969, 1), (105, 0), (94, 0), (133, 0), (125, 0)])","(40, 56, [(3418, 1), (96, 0), (118, 0)])","(40, 65, [(821, 0), (88, 0), (120, 0)])","(40, 46, [(3082, 1), (120, 0), (124, 0), (100, 0), (131, 0)])","(40, 68, [(2738, 1)])","(0, 0, [])","(50, 46, [(3934, 1), (133, 0), (100, 0)])","(50, 8, [(3363, 2), (147, 0), (129, 0), (115, 0)])","(40, 26, [(3076, 0), (114, 0), (88, 0)])","(0, 0, [])","(40, 32, [(2756, 1)])","(50, 50, [(2956, 3), (93, 0), (129, 0), (84, 0)])","(30, -16, [(2761, 1), (139, 0), (147, 0)])","(0, 0, [])"
"Auyeung, Almeda",2954,"(40, 5, [(1416, 0), (1140, 0), (93, 0), (124, 0), (102, 0), (139, 0)])","(50, -26, [(481, 0), (324, 0), (90, 0), (108, 0), (115, 0)])","(50, -41, [(1472, 0), (658, 0), (140, 0), (93, 0), (110, 0)])","(50, -26, [(1517, 0), (1480, 0), (1546, 0)])","(50, -31, [(1564, 0), (107, 0), (124, 0)])","(40, -43, [(1472, 2), (1245, 0), (1664, 0), (100, 0)])","(40, -33, [(1436, 0), (131, 0), (97, 0), (105, 0), (93, 0)])","(40, -47, [(1227, 0), (569, 0), (121, 0), (93, 0)])","(40, -15, [(1661, 0), (150, 0), (140, 0), (132, 0), (81, 0)])","(40, -11, [(1399, 0), (103, 0), (103, 0), (132, 0)])","(40, -43, [(72, 0), (100, 0), (105, 0)])","(50, -15, [(1671, 0), (1644, 0), (99, 0), (145, 0), (119, 0)])","(50, -18, [(1450, 0), (1614, 0), (107, 0)])","(50, 7, [(1642, 0), (1021, 0), (1612, 0), (113, 0), (121, 0), (146, 0), (113, 0), (80, 0)])","(50, -47, [(1443, 0), (1293, 0), (90, 0)])","(50, -1, [(1239, 3), (91, 0)])","(40, 44, [(1472, 1), (87, 0), (95, 0), (116, 0)])","(40, -18, [(1726, 0), (127, 0)])","(40, -4, [(688, 0), (85, 0)])","(30, 36, [(1363, 1), (97, 0)])","(30, -42, [(1710, 0), (139, 0)])","(40, -4, [(1358, 0), (128, 0), (139, 0), (127, 0)])","(40, -9, [(2110, 2)])","(40, -44, [(1226, 1), (109, 0)])","(40, -33, [(1217, 0), (120, 0)])","(50, -12, [(1675, 3), (104, 0)])","(50, 44, [(1608, 0), (149, 0)])","(50, -33, [(1326, 0)])","(40, -28, [(1647, 0), (112, 0), (138, 0), (98, 0)])","(40, -2, [(1774, 1), (132, 0)])"
